cod_departamento,departamento,anio,biologico,cobertura_vacunacion,estado_indicador,rango_bajo_inicio,rango_bajo_fin,rango_medio_inicio,rango_medio_fin,rango_adecuado_inicio,rango_adecuado_fin,cobertura_original,cobertura_porcentaje,nivel_cobertura
5,Antioquia,2019,BCG - Antituberculosa Recién Nacido,0.9389,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9389,93.89,Adecuada
8,Atlántico,2019,BCG - Antituberculosa Recién Nacido,1.0379,IndicatorState3,0,49.99,80,89.99,90,94.99,10379.0,103.79,Alta
11,Bogotá  D.C.,2019,BCG - Antituberculosa Recién Nacido,1.0105,IndicatorState3,0,49.99,80,89.99,90,94.99,10105.0,101.05,Alta
13,Bolívar,2019,BCG - Antituberculosa Recién Nacido,0.717,IndicatorState1,0,49.99,80,89.99,90,94.99,0.717,71.7,Baja
15,Boyacá,2019,BCG - Antituberculosa Recién Nacido,0.9409,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9409,94.08999999999999,Adecuada
17,Caldas,2019,BCG - Antituberculosa Recién Nacido,0.9001,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9001,90.01,Adecuada
18,Caquetá,2019,BCG - Antituberculosa Recién Nacido,0.9563,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9563,95.63000000000001,Alta
19,Cauca,2019,BCG - Antituberculosa Recién Nacido,0.7223,IndicatorState1,0,49.99,80,89.99,90,94.99,0.7223,72.23,Baja
20,Cesar,2019,BCG - Antituberculosa Recién Nacido,0.9548,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9548,95.48,Alta
23,Córdoba,2019,BCG - Antituberculosa Recién Nacido,0.7965,IndicatorState1,0,49.99,80,89.99,90,94.99,0.7965,79.65,Baja
25,Cundinamarca,2019,BCG - Antituberculosa Recién Nacido,0.5633,IndicatorState1,0,49.99,80,89.99,90,94.99,0.5633,56.330000000000005,Baja
27,Chocó,2019,BCG - Antituberculosa Recién Nacido,0.7949,IndicatorState1,0,49.99,80,89.99,90,94.99,0.7949,79.49000000000001,Baja
41,Huila,2019,BCG - Antituberculosa Recién Nacido,0.9253,ThreeSymbolUnCircledCheck,0,49.99,80,89.99,90,94.99,0.9253,92.53,Adecuada
44,La Guajira,2019,BCG - Antituberculosa Recién Nacido,1.1051,IndicatorState3,0,49.99,80,89.99,90,94.99,11051.0,110.50999999999999,Alta
47,Magdalena,2019,BCG - Antituberculosa Recién Nacido,0.8603,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8603,86.03,Media
50,Meta,2019,BCG - Antituberculosa Recién Nacido,0.9874,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9874,98.74000000000001,Alta
52,Nariño,2019,BCG - Antituberculosa Recién Nacido,0.856,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.856,85.6,Media
54,Norte de Santander,2019,BCG - Antituberculosa Recién Nacido,0.8762,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8762,87.62,Media
63,Quindio,2019,BCG - Antituberculosa Recién Nacido,0.9739,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9739,97.39,Alta
66,Risaralda,2019,BCG - Antituberculosa Recién Nacido,1.0422,IndicatorState3,0,49.99,80,89.99,90,94.99,10422.0,104.22,Alta
68,Santander,2019,BCG - Antituberculosa Recién Nacido,0.8387,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8387,83.87,Media
70,Sucre,2019,BCG - Antituberculosa Recién Nacido,1.0013,IndicatorState3,0,49.99,80,89.99,90,94.99,10013.0,100.13000000000001,Alta
73,Tolima,2019,BCG - Antituberculosa Recién Nacido,0.8438,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8438,84.38,Media
76,Valle del Cauca,2019,BCG - Antituberculosa Recién Nacido,0.8722,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8722,87.22,Media
81,Arauca,2019,BCG - Antituberculosa Recién Nacido,1.1367,IndicatorState3,0,49.99,80,89.99,90,94.99,11367.0,113.67,Alta
85,Casanare,2019,BCG - Antituberculosa Recién Nacido,0.9773,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9773,97.72999999999999,Alta
86,Putumayo,2019,BCG - Antituberculosa Recién Nacido,0.873,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.873,87.3,Media
88,Archipiélago de San Andrés Providencia y Santa Catalina,2019,BCG - Antituberculosa Recién Nacido,0.8593,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8593,85.92999999999999,Media
91,Amazonas,2019,BCG - Antituberculosa Recién Nacido,0.8399,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8399,83.99,Media
94,Guainía,2019,BCG - Antituberculosa Recién Nacido,1.2357,IndicatorState3,0,49.99,80,89.99,90,94.99,12357.0,123.57000000000001,Alta
95,Guaviare,2019,BCG - Antituberculosa Recién Nacido,0.9962,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9962,99.62,Alta
97,Vaupés,2019,BCG - Antituberculosa Recién Nacido,0.9632,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9632,96.32,Alta
99,Vichada,2019,BCG - Antituberculosa Recién Nacido,0.8613,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8613,86.13,Media
5,Antioquia,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9511,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9511,95.11,Alta
8,Atlántico,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9845,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9845,98.45,Alta
11,Bogotá  D.C.,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.8932,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.8932,89.32,Media
13,Bolívar,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.873,ThreeSymbolUnCircledExclamation,0,49.99,80,89.99,90,94.99,0.873,87.3,Media
15,Boyacá,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9797,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9797,97.97,Alta
17,Caldas,2019,PENTA3 - Pentavalente Menor a 1 Año 3a. Dosis,0.9624,IndicatorState2,0,49.99,80,89.99,90,94.99,0.9624,96.24000000000001,Alta
